Id	latitude	longitude	altitude (m)	distance (km)
390	25.49148832	51.44826933	11.1	0.390
391	25.49149619	51.44826445	11.1	0.391
392	25.49150405	51.44825956	11.1	0.392
393	25.49151191	51.44825468	11.2	0.393
394	25.49151977	51.44824979	11.2	0.394
395	25.49152763	51.4482449	11.2	0.395
396	25.49153549	51.44824001	11.2	0.396
397	25.49154335	51.44823511	11.2	0.397
398	25.49155121	51.44823022	11.2	0.398
399	25.49155906	51.44822532	11.2	0.399
400	25.49156692	51.44822042	11.2	0.400
401	25.49157479	51.44821554	11.2	0.401
402	25.49158265	51.44821066	11.3	0.402
403	25.49159052	51.44820578	11.3	0.403
404	25.49159838	51.4482009	11.3	0.404
405	25.49160625	51.44819602	11.3	0.405
406	25.49161411	51.44819113	11.3	0.406
407	25.49162197	51.44818625	11.3	0.407
408	25.49162983	51.44818136	11.3	0.408
409	25.4916377	51.44817647	11.3	0.409
410	25.49164555	51.44817157	11.3	0.410
411	25.49165341	51.44816667	11.3	0.411
412	25.49166126	51.44816178	11.3	0.412
413	25.49166912	51.44815688	11.3	0.413
414	25.49167697	51.44815197	11.3	0.414
415	25.49168483	51.44814707	11.3	0.415
416	25.49169268	51.44814216	11.2	0.416
417	25.49170053	51.44813726	11.2	0.417
418	25.49170839	51.44813236	11.1	0.418
419	25.49171625	51.44812747	11.1	0.419
420	25.49172411	51.44812258	11.0	0.420
421	25.49173197	51.4481177	11.0	0.421
422	25.49173984	51.44811281	10.9	0.422
423	25.4917477	51.44810794	10.9	0.423
424	25.49175557	51.44810306	10.9	0.424
425	25.49176344	51.44809818	10.8	0.425
426	25.49177131	51.44809331	10.8	0.426
427	25.49177916	51.4480884	10.7	0.427
428	25.49178701	51.44808349	10.7	0.428
429	25.49179486	51.44807857	10.6	0.429
430	25.4918027	51.44807366	10.6	0.430
431	25.49181056	51.44806877	10.5	0.431
432	25.49181843	51.4480639	10.5	0.432
433	25.4918263	51.44805902	10.5	0.433
434	25.49183417	51.44805414	10.4	0.434
435	25.49184203	51.44804926	10.4	0.435
436	25.4918499	51.44804438	10.4	0.436
437	25.49185776	51.4480395	10.4	0.437
438	25.49186563	51.44803462	10.3	0.438
439	25.49187349	51.44802974	10.3	0.439
440	25.49188135	51.44802485	10.3	0.440
441	25.49188922	51.44801997	10.3	0.441
442	25.49189708	51.44801509	10.3	0.442
443	25.49190495	51.4480102	10.3	0.443
444	25.49191282	51.44800534	10.3	0.444
445	25.49192069	51.44800047	10.3	0.445
446	25.49192856	51.4479956	10.3	0.446
447	25.49193644	51.44799074	10.3	0.447
448	25.49194432	51.44798588	10.3	0.448
449	25.4919522	51.44798103	10.3	0.449
450	25.49196008	51.44797618	10.3	0.450
451	25.49196796	51.44797133	10.3	0.451
452	25.49197585	51.4479665	10.3	0.452
453	25.49198374	51.44796167	10.3	0.453
454	25.49199163	51.44795684	10.3	0.454
455	25.49199952	51.44795201	10.3	0.455
456	25.49200741	51.44794718	10.3	0.456
457	25.4920153	51.44794234	10.3	0.457
458	25.49202319	51.44793751	10.3	0.458
459	25.49203108	51.44793267	10.3	0.459
460	25.49203897	51.44792786	10.3	0.460
461	25.49204689	51.44792308	10.3	0.461
462	25.49205481	51.44791831	10.3	0.462
463	25.49206273	51.44791353	10.3	0.463
464	25.49207065	51.44790875	10.3	0.464
465	25.49207856	51.44790398	10.3	0.465
466	25.49208648	51.4478992	10.3	0.466
467	25.4920944	51.44789443	10.3	0.467
468	25.49210232	51.44788966	10.3	0.468
469	25.49211026	51.44788492	10.2	0.469
470	25.4921182	51.44788018	10.2	0.470
471	25.49212613	51.44787545	10.2	0.471
472	25.49213407	51.44787071	10.2	0.472
473	25.49214201	51.44786597	10.2	0.473
474	25.49214995	51.44786124	10.2	0.474
475	25.49215789	51.4478565	10.2	0.475
476	25.49216583	51.44785178	10.1	0.476
477	25.49217378	51.44784706	10.1	0.477
478	25.49218173	51.44784235	10.1	0.478
479	25.49218968	51.44783764	10.1	0.479
480	25.49219762	51.44783292	10.1	0.480
481	25.49220557	51.4478282	10.1	0.481
482	25.49221351	51.44782348	10.0	0.482
483	25.49222146	51.44781876	10.0	0.483
484	25.49222941	51.44781406	10.0	0.484
485	25.49223739	51.4478094	10.1	0.485
486	25.49224536	51.44780474	10.1	0.486
487	25.49225334	51.44780008	10.1	0.487
488	25.49226131	51.44779542	10.1	0.488
489	25.49226928	51.44779074	10.2	0.489
490	25.49227725	51.44778607	10.2	0.490
491	25.49228521	51.44778139	10.2	0.491
492	25.49229321	51.44777677	10.3	0.492
493	25.49230123	51.44777221	10.3	0.493
494	25.49230925	51.44776765	10.3	0.494
495	25.49231727	51.44776309	10.4	0.495
496	25.4923253	51.44775854	10.4	0.496
497	25.49233334	51.44775401	10.4	0.497
498	25.49234138	51.44774949	10.5	0.498
499	25.49234941	51.44774496	10.5	0.499
500	25.49235747	51.44774048	10.6	0.500
501	25.49236553	51.44773601	10.6	0.501
502	25.4923736	51.44773154	10.6	0.502
503	25.49238166	51.44772707	10.7	0.503
504	25.49238977	51.4477227	10.7	0.504
505	25.49239788	51.44771833	10.7	0.505
506	25.49240599	51.44771396	10.7	0.506
507	25.4924141	51.4477096	10.8	0.507
